Timestamp,Gender,Nationality/Country of Origin,Which of the following qualifications best describes you?,Do you know how to use functions in R? ,"Do you already use the tidyverse packages in R such as dplyr, tidyr, tibble and ggplot2? ",Do you need to analyse large collections of related time series? ,"Would you like to learn how to use some tidy tools for time series analysis including visualization, decomposition and forecasting? ",Which of the two modes of learning will be suitable for you?
7/22/2023 21:23,Female,Malawian,Bachelor student,No,No,Yes,Yes,Online
7/22/2023 22:16,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Physical
7/23/2023 6:42,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/23/2023 8:57,Male,Malawian,Diploma in Statistics student,No,No,Yes,Yes,Online
7/23/2023 10:09,Female,Malawi,Bsc graduate,No,No,No,Yes,Online
7/23/2023 10:39,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/23/2023 12:50,Female,MALAWIAN,UNDERGRADUATE,No,No,Yes,Yes,Physical
7/23/2023 16:03,Male,Kenya ,PhD Student,Yes,No,Yes,Yes,Online
7/23/2023 16:30,Male,Malawian,MSc Student,No,No,Yes,Yes,Online
7/23/2023 17:19,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/23/2023 17:30,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/23/2023 17:50,Male,Malawi,Junior Researcher,Yes,Yes,Yes,Yes,"Physical, Online"
7/23/2023 17:58,Male,Malawian,Senior Researcher,No,No,Yes,Yes,Online
7/23/2023 17:58,Female,malawian,Junior Researcher,No,No,No,Yes,Online
7/23/2023 18:04,Male,Malawi ,Senior Researcher,No,No,No,Yes,Online
7/23/2023 19:54,Male,Malawi,Junior Researcher,Yes,Yes,Yes,Yes,Online
7/23/2023 21:10,Male,Malawi,MSc Student,No,No,Yes,Yes,Physical
7/23/2023 21:16,Female,Kenya,PhD Student,Yes,Yes,Yes,Yes,Physical
7/23/2023 21:17,Male,Malawian ,Junior Researcher,No,No,Yes,Yes,Online
7/23/2023 21:31,Male,Malawi ,Senior Researcher,Yes,No,Yes,Yes,Online
7/23/2023 21:50,Male,Malawian,MSc Student,Yes,Yes,Yes,Yes,Online
7/23/2023 23:16,Male,Malawian,Monitoring and Evaluation Intern ,Yes,Yes,Yes,Yes,Online
7/24/2023 6:37,Male,Malawi ,PhD Student,Yes,Yes,Yes,Yes,Physical
7/24/2023 8:37,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/24/2023 9:01,Male,Malawian ,Planning Officer,No,No,Yes,Yes,Online
7/24/2023 9:05,Male,Malawian ,Junior Researcher,No,No,Yes,Yes,Online
7/24/2023 10:28,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/24/2023 12:59,Male,Malawian,PhD Student,Yes,No,Yes,Yes,Online
7/24/2023 14:12,Male,Malawi,Final Year Bachelor of Arts (Humanities) student,No,No,No,Yes,Online
7/24/2023 15:20,Male,Malawian,Employee,Yes,Yes,Yes,Yes,Online
7/24/2023 15:20,Male,Malawian,Junior Researcher,Yes,Yes,Yes,Yes,Physical
7/24/2023 15:36,Male,Malawian ,Junior Researcher,Yes,No,Yes,Yes,Online
7/24/2023 15:53,Male,Malawian ,Undergraduate ,No,No,Yes,Yes,Physical
7/24/2023 15:58,Male,Malawian ,Junior Researcher,Yes,No,Yes,Yes,Online
7/24/2023 16:24,Female,Malawi,MSc Student,Yes,Yes,Yes,Yes,Online
7/24/2023 17:11,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/24/2023 20:25,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Physical
7/24/2023 21:36,Male,Malawi,Junior Researcher,Yes,No,Yes,Yes,Physical
7/25/2023 4:22,Male,Malawian ,Diploma graduate ,No,No,Yes,Yes,Physical
7/25/2023 10:03,Male,Malawi,Diploma in community development,No,No,Yes,Yes,Physical
